Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
Australia,India,India,66 runs,Melbourne,"Dec 6, 1980",ODI # 97
Australia,India,Australia,9 wickets,Sydney,"Dec 18, 1980",ODI # 100
Australia,India,Australia,9 wickets,Sydney,"Jan 8, 1981",ODI # 104
Australia,India,Australia,7 wickets,Melbourne,"Jan 11, 1981",ODI # 106
Australia,India,Australia,27 runs,Sydney,"Jan 15, 1981",ODI # 108
Australia,India,Australia,162 runs,Nottingham,"Jun 13, 1983",ODI # 207
Australia,India,India,118 runs,Chelmsford,"Jun 20, 1983",ODI # 219
India,Australia,Australia,48 runs,New Delhi,"Sep 28, 1984",ODI # 267
India,Australia,no result,-,Thiruvananthapuram,"Oct 1, 1984",ODI # 268
India,Australia,no result,-,Jamshedpur,"Oct 3, 1984",ODI # 269
India,Australia,Australia,7 wickets,Ahmedabad,"Oct 5, 1984",ODI # 270
India,Australia,Australia,6 wickets,Indore,"Oct 6, 1984",ODI # 271
Australia,India,India,8 wickets,Melbourne,"Mar 3, 1985",ODI # 315
Australia,India,India,3 wickets,Sharjah,"Mar 29, 1985",ODI # 325
Australia,India,Australia,4 wickets,Brisbane,"Jan 12, 1986",ODI # 349
Australia,India,India,8 wickets,Melbourne,"Jan 16, 1986",ODI # 351
Australia,India,Australia,100 runs,Sydney,"Jan 21, 1986",ODI # 354
Australia,India,Australia,36 runs,Adelaide,"Jan 26, 1986",ODI # 357
Australia,India,India,6 wickets,Melbourne,"Jan 31, 1986",ODI # 360
Australia,India,Australia,11 runs,Sydney,"Feb 5, 1986",ODI # 362
Australia,India,Australia,7 wickets,Melbourne,"Feb 9, 1986",ODI # 363
India,Australia,India,7 wickets,Jaipur,"Sep 7, 1986",ODI # 390
India,Australia,Australia,3 wickets,Srinagar,"Sep 9, 1986",ODI # 391
India,Australia,no result,-,Hyderabad (Deccan),"Sep 24, 1986",ODI # 392
India,Australia,India,3 wickets,Delhi,"Oct 2, 1986",ODI # 393
India,Australia,India,52 runs,Ahmedabad,"Oct 5, 1986",ODI # 394
India,Australia,Australia,7 wickets,Rajkot,"Oct 7, 1986",ODI # 395
Australia,India,India,7 wickets,Sharjah,"Apr 5, 1987",ODI # 444
India,Australia,Australia,1 run,Chennai,"Oct 9, 1987",ODI # 453
India,Australia,India,56 runs,Delhi,"Oct 22, 1987",ODI # 465
India,Australia,India,3 wickets,Bengaluru,"Oct 27, 1989",ODI # 587
Australia,India,Australia,18 runs,Christchurch,"Mar 3, 1990",ODI # 613
Australia,India,Australia,7 wickets,Hamilton,"Mar 8, 1990",ODI # 618
Australia,India,India,107 runs,Perth,"Dec 8, 1991",ODI # 693
Australia,India,Australia,8 wickets,Hobart,"Dec 10, 1991",ODI # 694
Australia,India,Australia,6 wickets,Adelaide,"Dec 15, 1991",ODI # 697
Australia,India,Australia,9 wickets,Sydney,"Jan 14, 1992",ODI # 705
Australia,India,Australia,88 runs,Melbourne,"Jan 18, 1992",ODI # 709
Australia,India,Australia,6 runs,Sydney,"Jan 20, 1992",ODI # 711
Australia,India,Australia,1 run,Brisbane,"Mar 1, 1992",ODI # 725
Australia,India,India,7 wickets,Sharjah,"Apr 19, 1994",ODI # 910
Australia,India,India,31 runs,Colombo (RPS),"Sep 9, 1994",ODI # 924
Australia,India,India,5 wickets,Dunedin,"Feb 22, 1995",ODI # 979
India,Australia,Australia,16 runs,Wankhede,"Feb 27, 1996",ODI # 1065
Australia,India,Australia,3 wickets,Colombo (SSC),"Sep 6, 1996",ODI # 1113
India,Australia,India,2 wickets,Bengaluru,"Oct 21, 1996",ODI # 1129
India,Australia,India,5 runs,Mohali,"Nov 3, 1996",ODI # 1137
India,Australia,India,41 runs,Kochi,"Apr 1, 1998",ODI # 1300
India,Australia,India,6 wickets,Kanpur,"Apr 7, 1998",ODI # 1308
India,Australia,Australia,4 wickets,Delhi,"Apr 14, 1998",ODI # 1316
Australia,India,Australia,58 runs,Sharjah,"Apr 19, 1998",ODI # 1322
Australia,India,Australia,26 runs,Sharjah,"Apr 22, 1998",ODI # 1325
Australia,India,India,6 wickets,Sharjah,"Apr 24, 1998",ODI # 1327
Australia,India,India,44 runs,Dhaka,"Oct 28, 1998",ODI # 1360
Australia,India,Australia,77 runs,The Oval,"Jun 4, 1999",ODI # 1473
Australia,India,Australia,8 wickets,Galle,"Aug 23, 1999",ODI # 1486
Australia,India,Australia,41 runs,Colombo (SSC),"Aug 28, 1999",ODI # 1489
Australia,India,Australia,28 runs,Melbourne,"Jan 12, 2000",ODI # 1539
Australia,India,Australia,5 wickets,Sydney,"Jan 14, 2000",ODI # 1540
Australia,India,Australia,152 runs,Adelaide,"Jan 26, 2000",ODI # 1548
Australia,India,Australia,4 wickets,Perth,"Jan 30, 2000",ODI # 1552
Australia,India,India,20 runs,Nairobi (Gym),"Oct 7, 2000",ODI # 1633
India,Australia,India,60 runs,Bengaluru,"Mar 25, 2001",ODI # 1696
India,Australia,Australia,8 wickets,Pune,"Mar 28, 2001",ODI # 1698
India,Australia,India,118 runs,Indore,"Mar 31, 2001",ODI # 1699
India,Australia,Australia,93 runs,Visakhapatnam,"Apr 3, 2001",ODI # 1700
India,Australia,Australia,4 wickets,Margao,"Apr 6, 2001",ODI # 1701
Australia,India,Australia,9 wickets,Centurion,"Feb 15, 2003",ODI # 1951
Australia,India,Australia,125 runs,Johannesburg,"Mar 23, 2003",ODI # 1993
India,Australia,India,37 runs,Gwalior,"Oct 26, 2003",ODI # 2052
India,Australia,Australia,77 runs,Wankhede,"Nov 1, 2003",ODI # 2054
India,Australia,Australia,61 runs,Bengaluru,"Nov 12, 2003",ODI # 2061
India,Australia,Australia,37 runs,Eden Gardens,"Nov 18, 2003",ODI # 2064
Australia,India,Australia,18 runs,Melbourne,"Jan 9, 2004",ODI # 2077
Australia,India,India,19 runs,Brisbane,"Jan 18, 2004",ODI # 2084
Australia,India,Australia,2 wickets,Sydney,"Jan 22, 2004",ODI # 2086
Australia,India,Australia,5 wickets,Perth,"Feb 1, 2004",ODI # 2093
Australia,India,Australia,7 wickets,Melbourne,"Feb 6, 2004",ODI # 2097
Australia,India,Australia,208 runs,Sydney,"Feb 8, 2004",ODI # 2098
Australia,India,no result,-,Amstelveen,"Aug 23, 2004",ODI # 2159
Australia,India,no result,-,Kuala Lumpur,"Sep 16, 2006",ODI # 2416
Australia,India,Australia,18 runs,Kuala Lumpur,"Sep 22, 2006",ODI # 2421
India,Australia,Australia,6 wickets,Mohali,"Oct 29, 2006",ODI # 2440
India,Australia,no result,-,Bengaluru,"Sep 29, 2007",ODI # 2621
India,Australia,Australia,84 runs,Kochi,"Oct 2, 2007",ODI # 2623
India,Australia,Australia,47 runs,Hyderabad,"Oct 5, 2007",ODI # 2625
India,Australia,India,8 runs,Chandigarh,"Oct 8, 2007",ODI # 2627
India,Australia,Australia,9 wickets,Vadodara,"Oct 11, 2007",ODI # 2629
India,Australia,Australia,18 runs,Nagpur,"Oct 14, 2007",ODI # 2631
India,Australia,India,2 wickets,Wankhede,"Oct 17, 2007",ODI # 2632
Australia,India,no result,-,Brisbane,"Feb 3, 2008",ODI # 2670
Australia,India,India,5 wickets,Melbourne,"Feb 10, 2008",ODI # 2675
Australia,India,Australia,50 runs,Adelaide,"Feb 17, 2008",ODI # 2680
Australia,India,Australia,18 runs,Sydney,"Feb 24, 2008",ODI # 2685
Australia,India,India,6 wickets,Sydney,"Mar 2, 2008",ODI # 2688
Australia,India,India,9 runs,Brisbane,"Mar 4, 2008",ODI # 2689
Australia,India,no result,-,Centurion,"Sep 28, 2009",ODI # 2901
India,Australia,Australia,4 runs,Vadodara,"Oct 25, 2009",ODI # 2913
India,Australia,India,99 runs,Nagpur,"Oct 28, 2009",ODI # 2915
India,Australia,India,6 wickets,Delhi,"Oct 31, 2009",ODI # 2918
India,Australia,Australia,24 runs,Mohali,"Nov 2, 2009",ODI # 2919
India,Australia,Australia,3 runs,Hyderabad,"Nov 5, 2009",ODI # 2923
India,Australia,Australia,6 wickets,Guwahati,"Nov 8, 2009",ODI # 2925
India,Australia,India,5 wickets,Visakhapatnam,"Oct 20, 2010",ODI # 3060
India,Australia,India,5 wickets,Ahmedabad,"Mar 24, 2011",ODI # 3143
Australia,India,Australia,65 runs,Melbourne,"Feb 5, 2012",ODI # 3231
Australia,India,India,4 wickets,Adelaide,"Feb 12, 2012",ODI # 3237
Australia,India,Australia,110 runs,Brisbane,"Feb 19, 2012",ODI # 3244
Australia,India,Australia,87 runs,Sydney,"Feb 26, 2012",ODI # 3250
India,Australia,Australia,72 runs,Pune,"Oct 13, 2013",ODI # 3419
India,Australia,India,9 wickets,Jaipur,"Oct 16, 2013",ODI # 3420
India,Australia,Australia,4 wickets,Mohali,"Oct 19, 2013",ODI # 3421
India,Australia,no result,-,Ranchi,"Oct 23, 2013",ODI # 3422
India,Australia,India,6 wickets,Nagpur,"Oct 30, 2013",ODI # 3424
India,Australia,India,57 runs,Bengaluru,"Nov 2, 2013",ODI # 3428
Australia,India,Australia,4 wickets,Melbourne,"Jan 18, 2015",ODI # 3582
Australia,India,no result,-,Sydney,"Jan 26, 2015",ODI # 3592
Australia,India,Australia,95 runs,Sydney,"Mar 26, 2015",ODI # 3645
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",ODI # 3723
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",ODI # 3724
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",ODI # 3725
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",ODI # 3726
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",ODI # 3727
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",ODI # 3910
India,Australia,India,50 runs,Eden Gardens,"Sep 21, 2017",ODI # 3912
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",ODI # 3914
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",ODI # 3917
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",ODI # 3919
Australia,India,Australia,34 runs,Sydney,"Jan 12, 2019",ODI # 4077
Australia,India,India,6 wickets,Adelaide,"Jan 15, 2019",ODI # 4078
Australia,India,India,7 wickets,Melbourne,"Jan 18, 2019",ODI # 4079
India,Australia,India,6 wickets,Hyderabad,"Mar 2, 2019",ODI # 4102
India,Australia,India,8 runs,Nagpur,"Mar 5, 2019",ODI # 4106
India,Australia,Australia,32 runs,Ranchi,"Mar 8, 2019",ODI # 4109
India,Australia,Australia,4 wickets,Mohali,"Mar 10, 2019",ODI # 4111
India,Australia,Australia,35 runs,Delhi,"Mar 13, 2019",ODI # 4113
Australia,India,India,36 runs,The Oval,"Jun 9, 2019",ODI # 4155
India,Australia,Australia,10 wickets,Wankhede,"Jan 14, 2020",ODI # 4231
India,Australia,India,36 runs,Rajkot,"Jan 17, 2020",ODI # 4232
India,Australia,India,7 wickets,Bengaluru,"Jan 19, 2020",ODI # 4233
Australia,India,Australia,66 runs,Sydney,"Nov 27, 2020",ODI # 4265
Australia,India,Australia,51 runs,Sydney,"Nov 29, 2020",ODI # 4266
Australia,India,India,13 runs,Canberra,"Dec 2, 2020",ODI # 4267
India,Australia,India,5 wickets,Wankhede,"Mar 17, 2023",ODI # 4538
India,Australia,Australia,10 wickets,Visakhapatnam,"Mar 19, 2023",ODI # 4541
India,Australia,Australia,21 runs,Chennai,"Mar 22, 2023",ODI # 4545
India,Australia,India,5 wickets,Mohali,"Sep 22, 2023",ODI # 4651
India,Australia,India,99 runs,Indore,"Sep 24, 2023",ODI # 4654
India,Australia,Australia,66 runs,Rajkot,"Sep 27, 2023",ODI # 4657
India,Australia,India,6 wickets,Chennai,"Oct 8, 2023",ODI # 4662
